16:21:01,753 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:46:23,452 (main) ERROR [DataNucleus.Persistence] - Error : Could not find API definition for name "JDO". Perhaps you dont have the requisite datanucleus-api-XXX jar in the CLASSPATH?
16:46:50,445 (main) ERROR [DataNucleus.Persistence] - Error : Could not find API definition for name "JDO". Perhaps you dont have the requisite datanucleus-api-XXX jar in the CLASSPATH?
16:50:52,029 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:50:52,162 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
16:50:52,457 (main) INFO  [DataNucleus.Enhancer] - Writing class file "D:\ProjectData\Shivu\stockboo-app\target\stockboo-app-1.0-SNAPSHOT\WEB-INF\classes\com\stockboo\app\InstallEntity.class" with enhanced definition
16:50:52,458 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=247 ms, enhance=47 ms, total=294 ms. Consult the log for full details
16:51:03,752 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:51:03,941 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
16:51:04,164 (main) INFO  [DataNucleus.Enhancer] - Class "com.stockboo.app.InstallEntity" is already enhanced.
16:51:04,164 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=195 ms, enhance=25 ms, total=220 ms. Consult the log for full details
17:12:03,015 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:12:03,195 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:12:03,460 (main) INFO  [DataNucleus.Enhancer] - Writing class file "D:\ProjectData\Shivu\stockboo-app\target\stockboo-app-1.0-SNAPSHOT\WEB-INF\classes\com\stockboo\app\InstallEntity.class" with enhanced definition
17:12:03,461 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=217 ms, enhance=47 ms, total=264 ms. Consult the log for full details
17:12:13,086 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:12:13,411 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:12:13,776 (main) INFO  [DataNucleus.Enhancer] - Class "com.stockboo.app.InstallEntity" is already enhanced.
17:12:13,776 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=338 ms, enhance=24 ms, total=362 ms. Consult the log for full details
17:16:27,846 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:16:28,099 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:16:28,437 (main) INFO  [DataNucleus.Enhancer] - Writing class file "D:\ProjectData\Shivu\stockboo-app\target\stockboo-app-1.0-SNAPSHOT\WEB-INF\classes\com\stockboo\app\InstallEntity.class" with enhanced definition
17:16:28,438 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=287 ms, enhance=50 ms, total=337 ms. Consult the log for full details
17:16:40,506 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
